source_file,puzzle_file,puzzle_name,difficulty,algorithm,solved,solution_length,states_explored,max_memory_kb,time_seconds
results/medium_22_WAstar_W_1_5_20260411_205135.txt,puzzles/medium/medium_22.txt,medium_22.txt,Medium,WA* (W=1.5),True,16,17,100.3671875,0.005931666999913432
results/easy_22_UCS_20260411_181527.txt,puzzles/easy/easy_22.txt,easy_22.txt,Easy,UCS,True,16,19128,6765.71875,1.5342240649915766
results/easy_18_Greedy_20260411_183036.txt,puzzles/easy/easy_18.txt,easy_18.txt,Easy,Greedy,True,13,14,31.453125,0.008005922005395405
results/medium_21_Astar_20260411_200233.txt,puzzles/medium/medium_21.txt,medium_21.txt,Medium,A*,True,29,30,171.5859375,0.0430582749977475
results/hard_19_Greedy_20260411_214033.txt,puzzles/hard/hard_19.txt,hard_19.txt,Hard,Greedy,True,31,32,113.96875,0.010499634000098013
results/medium_20_WAstar_W_1_5_20260411_203243.txt,puzzles/medium/medium_20.txt,medium_20.txt,Medium,WA* (W=1.5),True,25,26,126.8125,0.018067757000153506
results/easy_9_WAstar_W_1_5_20260411_183933.txt,puzzles/easy/easy_9.txt,easy_9.txt,Easy,WA* (W=1.5),True,7,8,10.9375,0.0035972990008303896
results/hard_20_Astar_20260411_205502.txt,puzzles/hard/hard_20.txt,hard_20.txt,Hard,A*,True,44,51,323.7421875,0.024738669999806007
results/hard_20_DFS_20260411_210302.txt,puzzles/hard/hard_20.txt,hard_20.txt,Hard,DFS,True,108,121,703.0,0.017212350000008314
results/hard_4_Greedy_20260411_212559.txt,puzzles/hard/hard_4.txt,hard_4.txt,Hard,Greedy,True,35,36,236.90625,0.019589556000028097
results/hard_22_WAstar_W_1_5_20260411_213246.txt,puzzles/hard/hard_22.txt,hard_22.txt,Hard,WA* (W=1.5),True,55,56,461.9609375,0.026682758000106332
results/hard_24_Greedy_20260411_215729.txt,puzzles/hard/hard_24.txt,hard_24.txt,Hard,Greedy,True,71,72,1439.0703125,0.062220485000125336
results/hard_10_Greedy_20260411_210720.txt,puzzles/hard/hard_10.txt,hard_10.txt,Hard,Greedy,True,31,32,219.46875,0.01913896000002069
results/easy_22_Astar_20260411_182006.txt,puzzles/easy/easy_22.txt,easy_22.txt,Easy,A*,True,16,65,107.3125,0.018845448998035863
